connective	sense	class	weight	year	freq	z_freq
while	Comparison	Concession	0.2752179	1840	74.3792120689882	-0.0281808723792931
while	Comparison	Contrast	0.2970112	1840	86.6251247031943	0.00215624557232505
while	Comparison	Similarity	0.00124533	1840	0.00152288504093553	-0.212438656763567
with	Comparison	Concession	0.006734	1840	0.38473049378764	-0.211489326585101
with	Comparison	Contrast	0.003367003	1840	0.0961827948445927	-0.21220415330639
without	Comparison	Concession	0.06397306	1840	3.77824438100096	-0.203082486348524
yet	Comparison	Concession	0.9411765	1840	869.221922838478	1.94090365319891
yet	Comparison	Contrast	0.03921569	1840	1.50906603066714	-0.208703980909497
asif	Comparison	Concession	0.25	1840	23.09125	-0.155237875092091
asif	Comparison	Similarity	0.625	1840	144.3203125	0.145086035267491
asthough	Comparison	Similarity	0.4	1840	7.1264	-0.194788013329811
aswell	Comparison	Similarity	0.3333333	1840	26.7466613173336	-0.146182229538499
butthen	Comparison	Concession	1	1840	22.65	-0.156330995196407
bycomparison	Comparison	Contrast	1	1840	1.08	-0.209766917349614
bycontrast	Comparison	Contrast	1	1840	1.27	-0.209296225406679
evenas	Comparison	Concession	0.5769231	1840	10.0650895626036	-0.187507921225048
evenif	Comparison	Concession	1	1840	31.63	-0.134084607577687
evenso	Comparison	Concession	1	1840	9.49	-0.188932605559699
eventhough	Comparison	Concession	1	1840	11.13	-0.184869790894364
evenwhen	Comparison	Concession	0.785714	1840	11.7172363763281	-0.18341501494207
evenwith	Comparison	Concession	1	1840	10.56	-0.18628186672317
ifonly	Comparison	Concession	0.8333333	1840	1.62499987	-0.208416774993247
incontrast	Comparison	Contrast	1	1840	1.77	-0.208057562398955
infact	Comparison	Concession	0.04705882	1840	0.170208971008444	-0.212020766334355
infact	Comparison	Contrast	0.08235294	1840	0.521265037009827	-0.211151086009169
nomatter	Comparison	Concession	1	1840	20.18	-0.162449990454563
regardlessof	Comparison	Concession	1	1840	7.59	-0.193639524989049
asmuchas	Comparison	Concession	0.5	1840	9.9475	-0.187799228907631
butthenagain	Comparison	Concession	1	1840	0.19	-0.211971737503362
inanycase	Comparison	Concession	1	1840	3.61	-0.203499282530531
intheend	Comparison	Concession	0.07692308	1840	0.0819526692781066	-0.212239405966659
intheend	Comparison	Contrast	0.07692308	1840	0.0819526692781066	-0.212239405966659
inthemeantime	Comparison	Contrast	0.0357142	1840	0.0120280034898652	-0.212412632160338
onthecontrary	Comparison	Contrast	1	1840	37.96	-0.118403133899903
ontheotherhand	Comparison	Concession	0.1111111	1840	0.436543122567906	-0.211360969811895
ontheotherhand	Comparison	Contrast	0.8888889	1840	27.9387661305679	-0.143228997271533
albeit	Comparison	Concession	1	1850	2.42	-0.206447300488914
although	Comparison	Concession	0.95	1850	154.1831	0.169519375326073
