Phrase	Year	Frequency	Corpus	sense	class	weight	Weighted_Frequency
additionally	1945	5.55235772026208e-07	eng_2019	Expansion	Conjunction	1	5.55235772026208e-07
additionally	1947	5.99795263107288e-07	eng_2019	Expansion	Conjunction	1	5.99795263107288e-07
also	1801	0.000615938554983586	eng_2019	Expansion	Conjunction	0.9988	0.000615199428717606
also	1804	0.000631127880686628	eng_2019	Expansion	Conjunction	0.9988	0.000630370527229804
also	1889	0.000755178625695407	eng_2019	Expansion	Conjunction	0.9988	0.000754272411344573
also	1902	0.000758915175018566	eng_2019	Expansion	Conjunction	0.9988	0.000758004476808544
also	1890	0.00075569427904806	eng_2019	Expansion	Conjunction	0.9988	0.000754787445913202
also	1800	0.000618862453848124	eng_2019	Expansion	Conjunction	0.9988	0.000618119818903506
also	1802	0.000616285726816083	eng_2019	Expansion	Conjunction	0.9988	0.000615546183943904
also	1907	0.000781378517526069	eng_2019	Expansion	Conjunction	0.9988	0.000780440863305038
also	1904	0.000773161591496319	eng_2019	Expansion	Conjunction	0.9988	0.000772233797586523
also	1859	0.00072613066627777	eng_2019	Expansion	Conjunction	0.9988	0.000725259309478237
also	1805	0.000635554049430149	eng_2019	Expansion	Conjunction	0.9988	0.000634791384570833
also	1891	0.000759437123113977	eng_2019	Expansion	Conjunction	0.9988	0.00075852579856624
also	1887	0.000754069453770561	eng_2019	Expansion	Conjunction	0.9988	0.000753164570426036
also	1806	0.000655368253189538	eng_2019	Expansion	Conjunction	0.9988	0.000654581811285711
also	1900	0.00075395403629435	eng_2019	Expansion	Conjunction	0.9988	0.000753049291450797
also	1860	0.000730631623550185	eng_2019	Expansion	Conjunction	0.9988	0.000729754865601925
also	1914	0.000779607848796461	eng_2019	Expansion	Conjunction	0.9988	0.000778672319377905
also	1892	0.000760821775267167	eng_2019	Expansion	Conjunction	0.9988	0.000759908789136846
also	1903	0.000767043999595834	eng_2019	Expansion	Conjunction	0.9988	0.000766123546796319
also	1908	0.000786118408931153	eng_2019	Expansion	Conjunction	0.9988	0.000785175066840436
also	1919	0.000771117205398956	eng_2019	Expansion	Conjunction	0.9988	0.000770191864752477
also	1897	0.000751112895419023	eng_2019	Expansion	Conjunction	0.9988	0.00075021155994452
also	1895	0.000757674645033798	eng_2019	Expansion	Conjunction	0.9988	0.000756765435459758
also	1913	0.000783089481826339	eng_2019	Expansion	Conjunction	0.9988	0.000782149774448147
also	1857	0.000724317971616983	eng_2019	Expansion	Conjunction	0.9988	0.000723448790051043
also	1911	0.000785645887455238	eng_2019	Expansion	Conjunction	0.9988	0.000784703112390292
also	1864	0.00072316695669932	eng_2019	Expansion	Conjunction	0.9988	0.000722299156351281
also	1918	0.000768868385681084	eng_2019	Expansion	Conjunction	0.9988	0.000767945743618267
also	1896	0.000753530226315239	eng_2019	Expansion	Conjunction	0.9988	0.000752625990043661
also	1916	0.000773040802284543	eng_2019	Expansion	Conjunction	0.9988	0.000772113153321801
also	1901	0.000754783620193068	eng_2019	Expansion	Conjunction	0.9988	0.000753877879848836
also	1912	0.00078342658733683	eng_2019	Expansion	Conjunction	0.9988	0.000782486475432026
also	1888	0.000755510816816241	eng_2019	Expansion	Conjunction	0.9988	0.000754604203836062
also	1807	0.000657234831513571	eng_2019	Expansion	Conjunction	0.9988	0.000656446149715755
also	1803	0.000620030698233417	eng_2019	Expansion	Conjunction	0.9988	0.000619286661395537
also	1861	0.000728884354300265	eng_2019	Expansion	Conjunction	0.9988	0.000728009693075105
also	1915	0.000775296523767923	eng_2019	Expansion	Conjunction	0.9988	0.000774366167939401
also	1893	0.000760105305484363	eng_2019	Expansion	Conjunction	0.9988	0.000759193179117782
also	1898	0.000751299608964473	eng_2019	Expansion	Conjunction	0.9988	0.000750398049433716
also	1909	0.000784885379419263	eng_2019	Expansion	Conjunction	0.9988	0.00078394351696396
also	1920	0.000771430054945605	eng_2019	Expansion	Conjunction	0.9988	0.00077050433887967
also	1905	0.000777677716022091	eng_2019	Expansion	Conjunction	0.9988	0.000776744502762864
also	1833	0.000711707356718502	eng_2019	Expansion	Conjunction	0.9988	0.00071085330789044
also	1822	0.000688232323487422	eng_2019	Expansion	Conjunction	0.9988	0.000687406444699237
also	1865	0.000719588100244956	eng_2019	Expansion	Conjunction	0.9988	0.000718724594524662
also	1854	0.000727781061349171	eng_2019	Expansion	Conjunction	0.9988	0.000726907724075552
also	2001	0.00115033134352416	eng_2019	Expansion	Conjunction	0.9988	0.00114895094591193
also	1827	0.000698676108316119	eng_2019	Expansion	Conjunction	0.9988	0.00069783769698614
also	1870	0.000727066287903913	eng_2019	Expansion	Conjunction	0.9988	0.000726193808358428
also	1816	0.000700752550203885	eng_2019	Expansion	Conjunction	0.9988	0.00069991164714364
also	1821	0.000693448070835854	eng_2019	Expansion	Conjunction	0.9988	0.000692615933150851
also	1924	0.000780793796626053	eng_2019	Expansion	Conjunction	0.9988	0.000779856844070102
also	1810	0.000674861965567938	eng_2019	Expansion	Conjunction	0.9988	0.000674052131209257
also	1837	0.000721307305086936	eng_2019	Expansion	Conjunction	0.9988	0.000720441736320832
also	1817	0.000701667217072099	eng_2019	Expansion	Conjunction	0.9988	0.000700825216411613
also	1869	0.000718878964627428	eng_2019	Expansion	Conjunction	0.9988	0.000718016309869875
also	1858	0.00072309874563611	eng_2019	Expansion	Conjunction	0.9988	0.000722231027141347
also	2005	0.00115459468880934	eng_2019	Expansion	Conjunction	0.9988	0.00115320917518277
also	1831	0.000713974012926753	eng_2019	Expansion	Conjunction	0.9988	0.000713117244111241
also	1809	0.000671634350770286	eng_2019	Expansion	Conjunction	0.9988	0.000670828389549362
also	1863	0.000722306381378855	eng_2019	Expansion	Conjunction	0.9988	0.0007214396137212
also	1906	0.000778647597014372	eng_2019	Expansion	Conjunction	0.9988	0.000777713219897955
also	1917	0.000771195328395281	eng_2019	Expansion	Conjunction	0.9988	0.000770269894001207
also	1814	0.000686388928443193	eng_2019	Expansion	Conjunction	0.9988	0.000685565261729061
also	1841	0.000742439172297184	eng_2019	Expansion	Conjunction	0.9988	0.000741548245290427
also	1830	0.000710678428211915	eng_2019	Expansion	Conjunction	0.9988	0.000709825614098061
also	1808	0.000662547419779003	eng_2019	Expansion	Conjunction	0.9988	0.000661752362875268
also	1826	0.000694944714528642	eng_2019	Expansion	Conjunction	0.9988	0.000694110780871208
also	1862	0.000727796586163874	eng_2019	Expansion	Conjunction	0.9988	0.000726923230260477
also	1824	0.000684097733548177	eng_2019	Expansion	Conjunction	0.9988	0.000683276816267919
also	1894	0.000758857175242156	eng_2019	Expansion	Conjunction	0.9988	0.000757946546631865
also	1899	0.000752252127443041	eng_2019	Expansion	Conjunction	0.9988	0.000751349424890109
also	1910	0.000785373492232923	eng_2019	Expansion	Conjunction	0.9988	0.000784431044042243
